Dates,SMA Values
2025-06-06,572.0210
2025-06-05,572.0607
2025-06-04,572.1109
2025-06-03,572.2244
2025-06-02,572.3559
2025-05-30,572.4883
2025-05-29,572.6200
2025-05-28,572.6837
2025-05-27,572.7075
2025-05-23,572.7058
2025-05-22,572.7207
2025-05-21,572.6824
2025-05-20,572.6368
2025-05-19,572.5798
2025-05-16,572.4911
2025-05-15,572.4841
2025-05-14,572.4810
2025-05-13,572.4287
2025-05-12,572.4008
2025-05-09,572.4393
2025-05-08,572.7603
2025-05-07,573.1433
2025-05-06,573.5694
2025-05-05,573.9484
2025-05-02,574.2358
2025-05-01,574.4097
2025-04-30,574.6776
2025-04-29,575.1881
2025-04-28,575.7286
2025-04-25,576.2792
2025-04-24,576.8334
2025-04-23,577.4661
2025-04-22,578.1726
2025-04-21,578.9906
2025-04-17,579.9917
2025-04-16,580.8409
2025-04-15,581.7094
2025-04-14,582.4038
2025-04-11,583.0783
2025-04-10,583.7985
2025-04-09,584.5816
2025-04-08,585.1176
2025-04-07,586.1986
2025-04-04,587.1694
2025-04-03,588.1100
2025-04-02,588.6664
2025-04-01,588.9115
2025-03-31,589.1723
2025-03-28,589.4242
2025-03-27,589.8015
2025-03-26,590.0942
2025-03-25,590.3670
2025-03-24,590.5839
2025-03-21,590.8099
2025-03-20,591.1197
2025-03-19,591.3810
2025-03-18,591.4659
2025-03-17,591.5423
2025-03-14,591.5644
2025-03-13,591.6082
2025-03-12,591.9036
2025-03-11,592.1359
2025-03-10,592.3905
2025-03-07,592.5738
2025-03-06,592.5893
2025-03-05,592.6265
2025-03-04,592.6080
2025-03-03,592.6616
2025-02-28,592.6492
2025-02-27,592.4968
2025-02-26,592.4449
2025-02-25,592.2601
2025-02-24,592.1288
2025-02-21,591.9122
2025-02-20,591.6273
2025-02-19,591.2379
2025-02-18,590.7764
2025-02-14,590.2716
2025-02-13,589.8438
2025-02-12,589.3586
2025-02-11,588.9556
2025-02-10,588.5283
2025-02-07,588.1628
2025-02-06,587.8172
2025-02-05,587.4193
2025-02-04,587.0198
2025-02-03,586.6612
2025-01-31,586.3290
2025-01-30,585.9362
2025-01-29,585.5186
2025-01-28,585.0314
2025-01-27,584.5325
2025-01-24,584.0881
2025-01-23,583.5394
2025-01-22,582.9387
2025-01-21,582.3234
2025-01-17,581.6836
2025-01-16,581.0782
2025-01-15,580.4720
2025-01-14,579.9550
2025-01-13,579.5701
2025-01-10,579.2065
2025-01-08,578.9805
2025-01-07,578.5962
2025-01-06,578.2208
2025-01-03,577.8068
2025-01-02,577.4220
2024-12-31,577.1330
2024-12-30,576.7630
2024-12-27,576.4177
2024-12-26,575.9761
2024-12-24,575.4744
2024-12-23,574.9147
2024-12-20,574.4147
2024-12-19,573.8512
2024-12-18,573.3464
2024-12-17,572.7431
2024-12-16,571.9379
2024-12-13,571.0793
2024-12-12,570.1171
2024-12-11,569.1921
2024-12-10,568.1801
2024-12-09,567.3903
2024-12-06,566.6910
2024-12-05,566.0430
2024-12-04,565.3108
2024-12-03,564.5979
2024-12-02,563.9229
2024-11-29,563.1846
2024-11-27,562.4892
2024-11-26,561.9731
2024-11-25,561.4465
2024-11-22,560.8920
2024-11-21,560.4002
2024-11-20,559.9758
2024-11-19,559.6736
2024-11-18,559.3370
2024-11-15,559.0071
2024-11-14,558.6651
2024-11-13,558.2925
2024-11-12,557.8169
2024-11-11,557.3386
2024-11-08,556.8327
2024-11-07,556.2981
2024-11-06,555.7651
2024-11-05,555.2420
2024-11-04,554.8650
2024-11-01,554.5878
2024-10-31,554.2874
2024-10-30,554.0061
2024-10-29,553.5763
2024-10-28,553.1465
2024-10-25,552.7351
2024-10-24,552.3598
2024-10-23,551.9670
2024-10-22,551.5407
2024-10-21,551.0519
2024-10-18,550.5477
2024-10-17,549.9845
2024-10-16,549.4319
2024-10-15,548.8617
2024-10-14,548.3265
2024-10-11,547.7413
2024-10-10,547.1395
2024-10-09,546.5693
2024-10-08,545.9833
2024-10-07,545.3889
2024-10-04,544.8920
2024-10-03,544.3787
2024-10-02,543.9182
2024-10-01,543.4082
2024-09-30,542.9432
2024-09-27,542.4382
2024-09-26,541.9443
