Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
8/15/2000,95.36224217058202,95.66155868712497,94.86338130967712,95.24251556396484,5564600,15,1,33,8,2000
8/16/2000,95.34231800948801,95.74140682493166,94.40445929319543,94.90332031,5191600,16,2,33,8,2000
8/17/2000,94.94322599870584,96.06067464434005,94.72372715759913,95.90103912353516,5652200,17,3,33,8,2000
8/18/2000,96.02067757688137,96.02067757688137,95.28236397124034,95.58168029785156,4626400,18,4,33,8,2000
8/21/2000,95.80123130031599,96.24022881929265,95.40214264670084,96.10054779052734,2380600,21,0,34,8,2000
8/22/2000,96.14048524,96.61939176981541,95.84116866386275,95.94094086,3075300,22,1,34,8,2000
8/23/2000,95.66156435457351,96.59942282863796,95.32233894906084,96.32006072998047,5483200,23,2,34,8,2000
8/24/2000,96.51958971523834,96.73908847208507,96.10054663,96.61936188,4529000,24,3,34,8,2000
8/25/2000,96.51960446696637,96.81892099932206,96.37992342,96.57946777,2822200,25,4,34,8,2000
8/28/2000,96.57945851102421,97.63704349058709,96.57945851102421,96.90870666503906,5518700,28,0,35,8,2000
8/29/2000,96.69920438804763,96.97856651380758,96.35997894962485,96.92868041992188,3561900,29,1,35,8,2000
8/30/2000,96.61938866357798,96.73911529141388,96.00080108642578,96.00080108642578,3964800,30,2,35,8,2000
8/31/2000,96.45970808606269,97.75674594820462,96.35993594282101,97.27783966064453,4863100,31,3,35,8,2000
9/1/2000,97.85653852869252,98.07603728966635,97.05836121606046,97.37763214111328,3191200,1,4,35,9,2000
9/5/2000,96.97853758177021,97.18805911358267,96.30008690732984,96.59940338134766,3470800,5,1,36,9,2000
9/6/2000,96.53953005467505,97.02841357810199,95.48194528971065,95.50189971923828,4322200,6,2,36,9,2000
9/7/2000,95.94092645,96.469719,95.67154157238271,96.32006072998047,4265500,7,3,36,9,2000
9/8/2000,95.96087658,96.10055762248383,95.35226632039847,95.66156005859375,3518200,8,4,36,9,2000
9/11/2000,95.62167619139808,96.53958043,94.94322523344576,95.52190399169922,3937500,11,0,37,9,2000
9/12/2000,95.62169459692959,95.94096569742017,94.78360795814181,94.82351684570312,4769100,12,1,37,9,2000
9/13/2000,94.50419750728041,95.36223815187775,94.28469873773224,95.07289886,7691600,13,2,37,9,2000
9/14/2000,95.70146947954123,95.74137834921576,94.60397556349145,95.55181121826172,3397100,14,3,37,9,2000
9/15/2000,94.86166162033604,94.90167075640535,93.46134185791016,93.46134185791016,4085700,15,4,37,9,2000
9/18/2000,93.70140954,94.08149637983334,92.31109186577524,92.60115814208984,5109300,18,0,38,9,2000
9/19/2000,92.90119149092304,93.66136489244222,92.63112988775175,93.44131469726562,6588200,19,1,38,9,2000
9/20/2000,93.26129906,93.48134931195943,91.64092899595254,92.75118255615234,6508100,20,2,38,9,2000
9/21/2000,92.48111112296345,93.18127095192814,91.30084169699442,91.34085083007812,5972300,21,3,38,9,2000
9/22/2000,91.30086267397054,93.02125579184116,91.17083296157335,93.00125122070312,7791300,22,4,38,9,2000
9/25/2000,93.42129544,93.50131367728036,92.00097167347292,92.34104919433594,9726300,25,0,39,9,2000
